Date,1y_up,1y_down,2y_up,2y_down,3y_up,3y_down,4y_up,4y_down,5y_up,5y_down,7y_up,7y_down,10y_up,10y_down,30y_up,30y_down,all_up,all_down,base
11Jun2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11Jun2015,0.0038035899231525505,0.0018008055015381608,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.002801949107191559,0.0038035899231525505,0.0018008055015381608,0.002801949107191559
13Jun2016,0.0078018355893745605,0.009801108230510374,0.010810380381022739,0.006796113641265536,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.008800719429474363,0.009808471137967662,0.007793481891243097,0.008800719429474363
12Jun2017,0.01896957084006786,0.018978637252132717,0.016911082204303145,0.02104026497977196,0.022073020915419156,0.015889290543366134,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.018974101158529627,0.019997090245306305,0.017951638201363966,0.018974101158529627
11Jun2018,0.027144029829967418,0.027153041172547538,0.027133923389533954,0.027163148408535523,0.024006693926376978,0.030295240799121007,0.031365565256023055,0.022959601960253925,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.027148532611525618,0.028188364035553772,0.026109273187287053,0.027148532611525618
11Jun2019,0.03226519606038014,0.03227304240190931,0.03226135397998897,0.032276887647035624,0.03224009679619111,0.03229812079913885,0.02800758566243644,0.03653739362308617,0.03765201901301651,0.026933971658718026,0.03226911670013388,0.03226911670013388,0.03226911670013388,0.03226911670013388,0.03226911670013388,0.03226911670013388,0.03332274811624081,0.03121611877624586,0.03226911670013388
11Jun2020,0.037085969095420626,0.037092314059347854,0.037082862229682184,0.03709542356888263,0.03707970273373059,0.037098584451068846,0.03705291452105801,0.03712531320993632,0.03433798819346232,0.03983773205737398,0.04098108088682921,0.03323108132942184,0.03708913951618212,0.03708913951618212,0.03708913951618212,0.03708913951618212,0.03815946691545806,0.03601955432644839,0.03708913951618212
11Jun2021,0.03711049217885498,0.03711682825371687,0.03710738966597571,0.03711993340719366,0.03710423459679091,0.03712308986152535,0.03710106874047381,0.03712625557442295,0.03431788498510113,0.039906927662770375,0.04102671313958739,0.03323471009686019,0.03711365815788503,0.03711365815788503,0.03711365815788503,0.03711365815788503,0.038183968349118524,0.03604408766037359,0.03711365815788503
13Jun2022,0.04040848322018172,0.040412868701624596,0.04040633586805405,0.040415017953699034,0.040404152164311584,0.04041720273836833,0.04040196101919863,0.04041939395617052,0.040371543533419006,0.04044972994380696,0.03766041655536031,0.0431555229830878,0.04432965528501005,0.03653646473044035,0.04041067452381326,0.04041067452381326,0.04149918168440487,0.0393231179323153,0.04041067452381326
12Jun2023,0.04042904802228987,0.040433415941781216,0.04042690926976341,0.04043555658742121,0.040424734311462436,0.04043773262363015,0.04042255194185715,0.04043991506747717,0.0404149327924447,0.04044753385482917,0.037626933046664236,0.043230086627184014,0.044381327295972044,0.036526260246212576,0.04043123055056819,0.04043123055056819,0.041519527042434445,0.03934387666228045,0.04043123055056819
11Jun2024,0.0404312576552357,0.0404356260490899,0.040429118670455955,0.040437766927225116,0.04042694347598208,0.040439943199786166,0.04042476086941171,0.04044212588069329,0.04041714089279891,0.04044974549570801,0.03762884873129235,0.043232610764100565,0.04438398667470689,0.03652806613690984,0.04043344042053376,0.04043344042053376,0.04152185666223085,0.039345970001557484,0.04043344042053376
11Jun2025,0.0406056560877297,0.040607303073210366,0.04060484966336664,0.04060811025614486,0.04060402960255938,0.04060893079905448,0.04060320676262208,0.040609753773450885,0.04060033416093978,0.04061262685026579,0.04057678521769725,0.04063612083798018,0.039756479841779324,0.041453496924416244,0.04262692125709133,0.038621245977135565,0.041717480981483535,0.03949724046960612,0.04060647903305159
11Jun2026,0.04060661704160662,0.040608249030594346,0.04060581796041651,0.04060904886413108,0.04060500536718337,0.04060986193623117,0.04060419002036042,0.04061067741791313,0.04060134357958489,0.04061352433882548,0.04059305046942785,0.04062183302391831,0.03973104081542078,0.041480699013881406,0.04263901935153824,0.03861127018309074,0.041718558903196756,0.039498073976693915,0.0406074324935497
11Jun2027,0.04060661704160662,0.040608249030594346,0.04060581796041651,0.04060904886413108,0.04060500536718337,0.04060986193623117,0.0406041900203602,0.04061067741791313,0.040601343579585114,0.0406135243388257,0.04059305046942807,0.04062183302391831,0.03973104081542078,0.041480699013881184,0.04263901935153824,0.03861127018309074,0.041718558903196756,0.039498073976693915,0.04060743249354948
12Jun2028,0.040611074958622845,0.040612707303598596,0.0406102757031333,0.04061350731160904,0.04060946293265703,0.04061432056107435,0.04060864740799339,0.04061513622065046,0.040605800346390115,0.040617983762635354,0.040597505427693685,0.04062629426056022,0.039735309765068165,0.04148534960313989,0.04264393146088946,0.03861530335244395,0.041723262619517996,0.039502293327816546,0.04061189058843951
11Jun2029,0.040604388326963045,0.040606020137985796,0.0406035893329085,0.04060681988429989,0.04060277682828243,0.04060763286773203,0.04060196157036501,0.04060844826048129,0.04059911543995265,0.04061129487090851,0.04059082323391731,0.04061960264973354,0.0397289065691698,0.0414783739790404,0.042636563578790164,0.03860925380837179,0.04171620730927353,0.03949596452574645,0.04060520368998346
11Jun2030,0.040606617041606397,0.040608249030594346,0.04060581796041651,0.04060904886413108,0.04060500536718337,0.04060986193623117,0.04060419002036042,0.04061067741791313,0.04060134357958489,0.0406135243388257,0.04059305046942785,0.04062183302391831,0.03973104081542078,0.041480699013881406,0.04263901935153824,0.03861127018309074,0.041718558903196756,0.03949807397669414,0.04060743249354948
11Jun2031,0.040606617041606397,0.040608249030594346,0.04060581796041629,0.04060904886413108,0.04060500536718359,0.04060986193623117,0.04060419002036042,0.04061067741791313,0.04060134357958489,0.0406135243388257,0.04059305046942807,0.04062183302391853,0.03973104081542078,0.041480699013881184,0.04263901935153824,0.03861127018309074,0.041718558903196756,0.03949807397669369,0.0406074324935497
11Jun2032,0.04060884591882222,0.04061047808579403,0.040608046750487306,0.040611278006563056,0.04060723406863703,0.040612091167340825,0.040606418632898794,0.040612906737965096,0.040603571881726426,0.040615753969396685,0.04059527786734875,0.040624063560856245,0.03973317521404943,0.04148302422190964,0.042641475312232585,0.038613286697778026,0.0417209106732733,0.03950018357737997,0.04060966145969696
13Jun2033,0.040611074958622775,0.04061270730359852,0.040610275703133226,0.04061350731160919,0.040609462932656736,0.04061432056107428,0.04060864740799354,0.04061513622065038,0.04060580034639026,0.04061798376263506,0.04059750542769361,0.040626294260560365,0.03973530976506832,0.041485349603139814,0.04264393146088917,0.038615303352444105,0.04172326261951814,0.039502293327816476,0.040611890588439656
12Jun2034,0.04060438832696319,0.04060602013798572,0.040603589332908425,0.04060681988430004,0.040602776828282346,0.04060763286773195,0.040601961570364935,0.04060844826048143,0.04059911543995257,0.04061129487090866,0.040590823233917675,0.040619602649733244,0.03972890656916972,0.04147837397904055,0.04263656357879054,0.038609253808371706,0.04171620730927346,0.03949596452574659,0.04060520368998338
11Jun2035,0.04060438832696282,0.040606020137985796,0.04060358933290806,0.04060681988429989,0.04060277682828265,0.04060763286773203,0.04060196157036501,0.040608448260481066,0.04059911543995265,0.04061129487090829,0.04059082323391731,0.04061960264973332,0.039728906569170025,0.0414783739790404,0.042636563578790164,0.03860925380837179,0.04171620730927353,0.03949596452574667,0.04060520368998324
11Jun2036,0.040608845918821995,0.04061047808579425,0.040608046750487084,0.040611278006562834,0.04060723406863703,0.0406120911673406,0.040606418632898794,0.040612906737965096,0.040603571881726426,0.040615753969396685,0.04059527786734897,0.04062406356085647,0.03973317521404943,0.041483024221909415,0.042641475312232585,0.038613286697777804,0.0417209106732733,0.03950018357737975,0.04060966145969718
11Jun2037,0.04060661704160662,0.040608249030594346,0.04060581796041651,0.0406090488641313,0.04060500536718337,0.040609861936231395,0.04060419002036042,0.04061067741791313,0.04060134357958489,0.0406135243388257,0.04059305046942785,0.04062183302391831,0.03973104081542056,0.041480699013881184,0.04263901935153824,0.03861127018309074,0.04171855890319698,0.03949807397669414,0.04060743249354948
11Jun2038,0.04060661704160662,0.04060824903059457,0.04060581796041651,0.04060904886413086,0.04060500536718337,0.04060986193623095,0.04060419002036042,0.04061067741791313,0.04060134357958467,0.04061352433882548,0.04059305046942763,0.04062183302391853,0.03973104081542078,0.041480699013881406,0.042639019351538465,0.03861127018309074,0.041718558903196756,0.03949807397669369,0.04060743249354948
13Jun2039,0.040611074958623,0.04061270730359852,0.04061027570313345,0.04061350731160919,0.0406094629326574,0.04061432056107428,0.04060864740799332,0.04061513622065038,0.04060580034639026,0.040617983762635285,0.04059750542769383,0.040626294260560365,0.03973530976506832,0.04148534960313959,0.042643931460889385,0.038615303352444105,0.04172326261951814,0.0395022933278167,0.040611890588439656
11Jun2040,0.040604388326963045,0.040606020137985796,0.04060358933290828,0.04060681988429989,0.04060277682828198,0.04060763286773203,0.04060196157036501,0.04060844826048151,0.04059911543995287,0.04061129487090851,0.04059082323391753,0.04061960264973332,0.0397289065691698,0.0414783739790404,0.042636563578790164,0.03860925380837179,0.04171620730927353,0.039495964525746226,0.04060520368998346
11Jun2041,0.04060661704160662,0.040608249030594123,0.04060581796041651,0.04060904886413108,0.04060500536718359,0.04060986193623117,0.04060419002036064,0.04061067741791313,0.04060134357958489,0.04061352433882548,0.04059305046942807,0.04062183302391831,0.03973104081542078,0.041480699013881184,0.042639019351538465,0.03861127018309052,0.041718558903196756,0.039498073976693915,0.040607432493549256
11Jun2042,0.04060661704160662,0.04060824903059457,0.04060581796041651,0.0406090488641313,0.040605005367183145,0.04060986193623117,0.0406041900203602,0.04061067741791313,0.04060134357958467,0.04061352433882548,0.04059305046942763,0.04062183302391853,0.03973104081542078,0.041480699013881184,0.04263901935153802,0.03861127018309096,0.04171855890319698,0.03949807397669414,0.0406074324935497
11Jun2043,0.04060661704160662,0.040608249030594123,0.04060581796041629,0.04060904886413108,0.04060500536718359,0.04060986193623117,0.0406041900203602,0.04061067741791291,0.04060134357958467,0.0406135243388257,0.04059305046942807,0.04062183302391831,0.03973104081542056,0.041480699013881184,0.042639019351538465,0.03861127018309074,0.041718558903196534,0.039498073976693915,0.04060743249354948
13Jun2044,0.04061330416102233,0.0406149366840208,0.040612504818368624,0.04061573677928239,0.04061169195925601,0.04061655011744459,0.040610876345658034,0.04061736586598264,0.04060802897359007,0.04062021371855419,0.0405997331504758,0.040628525123043886,0.03973744446848958,0.041487675157586425,0.042646387797524825,0.03861732014710007,0.04172561474194604,0.03950440322801548,0.040614119879790196
